%type	num	pre	maxTime	totTime	rep	stpEvt	bg	st	bgFile	stFile	h	v	tag
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0057.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0058.jpg			1
%													
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0053.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0059.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0060.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0054.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0061.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0062.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0063.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0064.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0065.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0066.jpg			1
%													
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0067.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0055.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0068.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0069.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0070.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0071.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0072.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0073.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0074.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0056.jpg			2
%													
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0075.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0057.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0076.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0058.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0077.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0059.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0078.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0079.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0080.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0060.jpg			2
%													
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0081.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0082.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0083.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0084.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0085.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0086.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0087.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0088.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0089.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0090.jpg			1
%													
s	1	0	5	5	0	n	n	n		instruct_Neutral.jpg			3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0061.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0091.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0062.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0063.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0064.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0065.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0066.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0067.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0068.jpg			2
