%type	num	pre	max	tot	rep	stpEvt	bg	st	bgfile	stfile	h	v	tag	trialNum	go1Nogo2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1736.jpg			1	169	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1737.jpg			1	170	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1738.jpg			1	171	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1739.jpg			1	172	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1740.jpg			1	173	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1741.jpg			1	174	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1742.jpg			1	175	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1743.jpg			1	178	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1744.jpg			1	179	1
%															
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1719.jpg			2	180	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1745.jpg			1	181	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1746.jpg			1	182	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1747.jpg			1	183	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1748.jpg			1	184	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1749.jpg			1	185	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1750.jpg			1	186	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1751.jpg			1	187	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1752.jpg			1	188	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1753.jpg			1	189	1
%															
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1720.jpg			2	190	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1754.jpg			1	191	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1721.jpg			2	192	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1755.jpg			1	193	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1722.jpg			2	194	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1756.jpg			1	195	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1757.jpg			1	196	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1723.jpg			2	197	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1758.jpg			1	198	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1759.jpg			1	199	1
%															
s	1	0	5	5	0	n	n	n		instruct_Neutral.jpg			3	200	0
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1724.jpg			2	201	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1725.jpg			2	202	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1726.jpg			2	203	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1727.jpg			2	204	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1760.jpg			1	205	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1728.jpg			2	206	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1729.jpg			2	207	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1730.jpg			2	208	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1731.jpg			2	209	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1732.jpg			2	210	1
%															
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1733.jpg			2	211	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1734.jpg			2	212	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1735.jpg			2	213	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1736.jpg			2	214	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1737.jpg			2	215	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1738.jpg			2	216	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1739.jpg			2	217	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1740.jpg			2	218	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1741.jpg			2	219	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1742.jpg			2	220	1
%															
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1743.jpg			2	221	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1761.jpg			1	222	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1744.jpg			2	223	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1745.jpg			2	224	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1762.jpg			1	225	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1746.jpg			2	226	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1747.jpg			2	227	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1748.jpg			2	228	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1749.jpg			2	229	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1750.jpg			2	230	1
%															
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1751.jpg			2	231	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1752.jpg			2	232	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1753.jpg			2	233	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1754.jpg			2	234	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1755.jpg			2	235	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1756.jpg			2	236	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1757.jpg			2	237	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1758.jpg			2	238	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1759.jpg			2	239	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1760.jpg			2	240	1
%															
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1761.jpg			2	241	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1763.jpg			1	242	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1762.jpg			2	243	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1763.jpg			2	244	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1764.jpg			2	245	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1765.jpg			2	246	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1766.jpg			2	247	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1764.jpg			1	248	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1767.jpg			2	249	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1765.jpg			1	250	2
