%type	num	pre	maxTime	totTime	rep	stpEvt	bg	st	bgFile	stFile	h	v	tag	trialNum	go1Nogo2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1558.jpg			2	94	1
%															
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1559.jpg			2	95	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1560.jpg			2	96	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1561.jpg			2	97	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1562.jpg			2	98	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1565.jpg			1	99	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1563.jpg			2	100	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1564.jpg			2	101	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1565.jpg			2	102	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1566.jpg			1	103	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1566.jpg			2	104	1
%															
s	1	0	5	5	0	n	n	n		instruct_PRC.jpg			3	105	0
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1567.jpg			1	106	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1568.jpg			1	107	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1569.jpg			1	108	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1570.jpg			1	109	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1571.jpg			1	110	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1567.jpg			2	111	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1572.jpg			1	112	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1568.jpg			2	113	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1573.jpg			1	105	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1574.jpg			1	106	1
%															
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1569.jpg			2	107	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1575.jpg			1	108	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1576.jpg			1	109	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1570.jpg			2	110	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1577.jpg			1	111	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1578.jpg			1	112	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1579.jpg			1	113	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1580.jpg			1	114	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1581.jpg			1	115	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1582.jpg			1	116	1
%															
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1583.jpg			1	117	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1571.jpg			2	118	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1584.jpg			1	119	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1585.jpg			1	120	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1586.jpg			1	121	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1587.jpg			1	122	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1588.jpg			1	123	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1589.jpg			1	124	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1590.jpg			1	125	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1572.jpg			2	126	2
%															
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1591.jpg			1	127	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1573.jpg			2	128	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1592.jpg			1	129	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1574.jpg			2	130	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1593.jpg			1	131	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1575.jpg			2	132	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1594.jpg			1	133	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1595.jpg			1	134	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1596.jpg			1	135	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1576.jpg			2	136	2
%															
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1597.jpg			1	137	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1598.jpg			1	138	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1599.jpg			1	139	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1600.jpg			1	140	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1601.jpg			1	141	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1602.jpg			1	142	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1603.jpg			1	143	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1604.jpg			1	144	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1605.jpg			1	145	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1606.jpg			1	146	1
%															
s	1	0	5	5	0	n	n	n		instruct_Neutral.jpg			3	147	0
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1577.jpg			2	148	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1607.jpg			1	149	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1578.jpg			2	150	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1579.jpg			2	151	1
