"X"	"Y"	"Z"	"RotX"	"RotY"	"RotZ"	"stdDVARS"	"FramewiseDisplacement"
0.0497135	0.156376	0.629457	-0.0165474	0.00814	-0.00168463	"1.08129919"	"0.07271849999999998"
0.0598311	0.170953	0.629423	-0.0163078	0.00834122	-0.00184625	"1.10640514"	"0.05485060000000008"
0.049392	0.164988	0.605543	-0.0165526	0.0086982	-0.00216959	"1.05954182"	"0.08654009999999987"
0.0302408	0.204001	0.618558	-0.0165827	0.00894754	-0.0025262	"1.03218997"	"0.10298169999999994"
0.0291807	0.210687	0.614525	-0.0166788	0.00908328	-0.00207024	"1.09576106"	"0.046169100000000206"
0.0289643	0.240674	0.640253	-0.0165068	0.00937423	-0.00227747	"1.11232054"	"0.08944040000000006"
0.0142087	0.252767	0.656774	-0.0160857	0.00946503	-0.00234469	"1.14496768"	"0.07232559999999981"
0.00575301	0.240549	0.652488	-0.016198	0.00954693	-0.00254811	"1.13515079"	"0.044840690000000044"
0.00572706	0.242057	0.6363	-0.0162967	0.00963273	-0.00250179	"1.1457262"	"0.029262950000000006"
0.019425	0.232648	0.668882	-0.0164123	0.00955548	-0.00236532	"1.17587066"	"0.07215494000000006"
0.0320056	0.208941	0.669074	-0.0162482	0.00985961	-0.00242752	"1.12410665"	"0.06300109999999996"
0.0299922	0.229585	0.659687	-0.0163281	0.00990554	-0.00227323	"1.04979217"	"0.04605039999999994"
0.0371051	0.224116	0.639256	-0.0158962	0.00990191	-0.00267157	"1.04072773"	"0.07470640000000006"
0.0270796	0.250055	0.688605	-0.0158506	0.0101739	-0.00249766	"1.05642796"	"0.10988849999999996"
0.0268751	0.258409	0.680076	-0.0156603	0.0104283	-0.00267157	"1.19534934"	"0.04801800000000001"
0.0268751	0.292417	0.681421	-0.015341	0.0104283	-0.00267157	"1.10707426"	"0.05131799999999993"
0.0266366	0.302741	0.675865	-0.015134	0.0108878	-0.0027425	"1.02418196"	"0.05299000000000005"
0.0264418	0.299607	0.692278	-0.0155683	0.0113461	-0.00267157	"0.99469674"	"0.0679182999999999"
0.0264418	0.317196	0.686549	-0.0148516	0.0113461	-0.00267157	"1.00012934"	"0.05915299999999999"
0.0234867	0.333216	0.657916	-0.0149338	0.0113461	-0.00250504	"1.00617337"	"0.0600446000000001"
0.0424524	0.295121	0.640912	-0.0154475	0.0109462	-0.00295865	"1.04862392"	"0.14242519999999986"
0.0425665	0.31012	0.642103	-0.0149866	0.0113461	-0.00293678	"1.07471812"	"0.06043759999999994"
0.0505916	0.295287	0.632041	-0.015127	0.0113461	-0.00314944	"1.12129498"	"0.05057310000000003"
0.03364	0.314472	0.682087	-0.0147247	0.0119609	-0.00307857	"1.14362288"	"0.1405811"
0.01655	0.339293	0.79742	-0.0150718	0.0115707	-0.00278777	"1.13127029"	"0.208649"
0.016378	0.299824	0.777162	-0.014962	0.011779	-0.002964	"1.10431969"	"0.08461550000000001"
-0.00378343	0.322117	0.741973	-0.0152358	0.0116474	-0.00302036	"1.13105071"	"0.10073143000000004"
-0.00152156	0.304498	0.753952	-0.014974	0.0118662	-0.00304288	"1.18909609"	"0.05701587"
-0.00170424	0.336077	0.74532	-0.0150396	0.0122972	-0.00293158	"1.17649138"	"0.07078867999999999"
-0.00185938	0.329951	0.75405	-0.0151607	0.0124349	-0.0031479	"1.09612596"	"0.038767140000000026"
-0.00932534	0.339987	0.737831	-0.0153057	0.0124386	-0.0030542	"1.08550918"	"0.045840959999999965"
-0.00753727	0.337234	0.737866	-0.0153271	0.0121848	-0.00304686	"1.06969357"	"0.0187030699999999"
0.00976018	0.349344	0.771065	-0.0150135	0.0122972	-0.00311569	"1.05063725"	"0.08734794999999985"
0.00484291	0.36315	0.766992	-0.0150237	0.012498	-0.00296121	"1.04811347"	"0.04107026999999994"
0.00610269	0.375708	0.770958	-0.0147298	0.0124433	-0.00314456	"1.05437922"	"0.04438128000000007"
-0.00131101	0.344959	0.764213	-0.0147298	0.0120594	-0.00303862	"1.1220367"	"0.06939969999999994"
0.00822589	0.364849	0.770889	-0.0146062	0.0118798	-0.00303751	"1.09948695"	"0.05131839999999998"
0.0244126	0.34017	0.750637	-0.0143118	0.0118798	-0.00290326	"1.14577472"	"0.08255021000000007"
0.0645071	0.320068	0.750869	-0.012838	0.011342	-0.00178383	"1.4980911"	"0.21697999999999992"
0.101421	0.218248	0.697502	-0.0136159	0.0107863	-0.00103356	"1.48249972"	"0.2962944"
0.0799242	0.236063	0.749595	-0.014323	0.00988028	-0.00123224	"1.51442325"	"0.18199480000000007"
0.178886	0.193116	0.551356	-0.0112757	0.00963529	-0.000896299	"1.77526331"	"0.5215593500000001"
0.17354	0.120291	0.527813	-0.0135949	0.00951683	-0.00123224	"1.48022354"	"0.24039405"
0.167987	0.143321	0.743439	-0.015529	0.0101881	-0.00145843	"1.597296"	"0.385787"
0.167618	0.240642	0.813825	-0.0153745	0.0105464	-0.00171036	"1.20320523"	"0.2063125"
0.133944	0.228445	0.780931	-0.0140298	0.01075	-0.00199509	"1.16046059"	"0.17041649999999992"
0.0992872	0.283495	0.848731	-0.0149505	0.0113327	-0.00234004	"1.14341128"	"0.24992429999999996"
0.0913878	0.28353	0.878971	-0.0149222	0.0116565	-0.002538	"1.13559747"	"0.0656774"
0.081887	0.262684	0.877868	-0.0150136	0.0114509	-0.00242266	"1.19810998"	"0.0520668"
0.100473	0.267972	0.679273	-0.0132734	0.0113693	-0.00289218	"1.33109474"	"0.337035"
0.0830752	0.315258	0.86524	-0.0141304	0.0120698	-0.002825	"1.32097423"	"0.3318848"
