%type	num	pre	maxTime	totTime	rep	stpEvt	bg	st	bgFile	stFile	h	v	trialNum	tags
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1568.jpg			113	4
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1573.jpg			105	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1574.jpg			106	1
%														
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1569.jpg			107	4
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1575.jpg			108	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1576.jpg			109	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1570.jpg			110	4
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1577.jpg			111	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1578.jpg			112	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1579.jpg			113	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1580.jpg			114	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1581.jpg			115	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1582.jpg			116	1
%														
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1583.jpg			117	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1571.jpg			118	4
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1584.jpg			119	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1585.jpg			120	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1586.jpg			121	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1587.jpg			122	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1588.jpg			123	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1589.jpg			124	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1590.jpg			125	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1572.jpg			126	4
%														
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1591.jpg			127	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1573.jpg			128	4
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1592.jpg			129	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1574.jpg			130	4
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1593.jpg			131	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1575.jpg			132	4
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1594.jpg			133	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1595.jpg			134	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1596.jpg			135	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1576.jpg			136	4
%														
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1597.jpg			137	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1598.jpg			138	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1599.jpg			139	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1600.jpg			140	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1601.jpg			141	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1602.jpg			142	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1603.jpg			143	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1604.jpg			144	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1605.jpg			145	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1606.jpg			146	1
%														
s	1	0	5	5	0	n	n	n		instruct_Neutral.jpg			147	0
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1577.jpg			148	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1607.jpg			149	2
