%type	num	pre	max	tot	rep	stpEvt	bg	st	bgfile	stfile	h	v	trialNum	tags
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0159.jpg			93	4
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0181.jpg			94	1
%														
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0182.jpg			95	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0160.jpg			96	4
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0183.jpg			97	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0184.jpg			98	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0161.jpg			99	4
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0185.jpg			100	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0186.jpg			101	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0187.jpg			102	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0188.jpg			103	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0189.jpg			104	1
%														
s	1	0	5	5	0	n	n	n		instruct_Neutral.jpg			105	0
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0162.jpg			106	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0163.jpg			107	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0190.jpg			108	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0164.jpg			109	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0191.jpg			110	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0165.jpg			111	3
