%type	num	pre	maxTime	totTime	rep	stpEvt	bg	st	bgFile	stFile	h	v	tag	trialNum	go1Nogo2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0070.jpg			1	121	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0071.jpg			1	122	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0072.jpg			1	123	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0073.jpg			1	124	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0074.jpg			1	125	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0056.jpg			2	126	4
%															
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0075.jpg			1	127	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0057.jpg			2	128	4
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0076.jpg			1	129	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0058.jpg			2	130	4
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0077.jpg			1	131	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0059.jpg			2	132	4
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0078.jpg			1	133	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0079.jpg			1	134	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0080.jpg			1	135	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0060.jpg			2	136	4
%															
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0081.jpg			1	137	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0082.jpg			1	138	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0083.jpg			1	139	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0084.jpg			1	140	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0085.jpg			1	141	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0086.jpg			1	142	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0087.jpg			1	143	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0088.jpg			1	144	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0089.jpg			1	145	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0090.jpg			1	146	1
%															
s	1	0	5	5	0	n	n	n		instruct_Neutral.jpg			3	147	0
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0061.jpg			2	148	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0091.jpg			1	149	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0062.jpg			2	150	3
